test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
chain_depth_sensitivity,1,1,True,0.985084,valid chain of delegation,1,826
chain_depth_sensitivity,1,2,True,0.964625,valid chain of delegation,1,826
chain_depth_sensitivity,1,3,True,0.92775,valid chain of delegation,1,826
chain_depth_sensitivity,1,4,True,0.890292,valid chain of delegation,1,826
chain_depth_sensitivity,1,5,True,0.856916,valid chain of delegation,1,826
chain_depth_sensitivity,1,6,True,0.97075,valid chain of delegation,1,826
chain_depth_sensitivity,1,7,True,0.881209,valid chain of delegation,1,826
chain_depth_sensitivity,1,8,True,0.872708,valid chain of delegation,1,826
chain_depth_sensitivity,1,9,True,0.911209,valid chain of delegation,1,826
chain_depth_sensitivity,1,10,True,0.937041,valid chain of delegation,1,826
chain_depth_sensitivity,1,11,True,0.88625,valid chain of delegation,1,826
chain_depth_sensitivity,1,12,True,0.849583,valid chain of delegation,1,826
chain_depth_sensitivity,1,13,True,0.841917,valid chain of delegation,1,826
chain_depth_sensitivity,1,14,True,0.802958,valid chain of delegation,1,826
chain_depth_sensitivity,1,15,True,0.849208,valid chain of delegation,1,826
chain_depth_sensitivity,1,16,True,0.860791,valid chain of delegation,1,826
chain_depth_sensitivity,1,17,True,0.833292,valid chain of delegation,1,826
chain_depth_sensitivity,1,18,True,0.877416,valid chain of delegation,1,826
chain_depth_sensitivity,1,19,True,0.843042,valid chain of delegation,1,826
chain_depth_sensitivity,1,20,True,0.828667,valid chain of delegation,1,826
chain_depth_sensitivity,1,21,True,0.771833,valid chain of delegation,1,826
chain_depth_sensitivity,1,22,True,0.813542,valid chain of delegation,1,826
chain_depth_sensitivity,1,23,True,0.820042,valid chain of delegation,1,826
chain_depth_sensitivity,1,24,True,0.801417,valid chain of delegation,1,826
chain_depth_sensitivity,1,25,True,0.788042,valid chain of delegation,1,826
chain_depth_sensitivity,1,26,True,0.809042,valid chain of delegation,1,826
chain_depth_sensitivity,1,27,True,0.797334,valid chain of delegation,1,826
chain_depth_sensitivity,1,28,True,0.768875,valid chain of delegation,1,826
chain_depth_sensitivity,1,29,True,0.794583,valid chain of delegation,1,826
chain_depth_sensitivity,1,30,True,0.770541,valid chain of delegation,1,826
chain_depth_sensitivity,1,31,True,0.770667,valid chain of delegation,1,826
chain_depth_sensitivity,1,32,True,0.769334,valid chain of delegation,1,826
chain_depth_sensitivity,1,33,True,0.747333,valid chain of delegation,1,826
chain_depth_sensitivity,1,34,True,0.775125,valid chain of delegation,1,826
chain_depth_sensitivity,1,35,True,0.746625,valid chain of delegation,1,826
chain_depth_sensitivity,1,36,True,0.751959,valid chain of delegation,1,826
chain_depth_sensitivity,1,37,True,0.769334,valid chain of delegation,1,826
chain_depth_sensitivity,1,38,True,0.768458,valid chain of delegation,1,826
chain_depth_sensitivity,1,39,True,0.978292,valid chain of delegation,1,826
chain_depth_sensitivity,1,40,True,0.793125,valid chain of delegation,1,826
chain_depth_sensitivity,1,41,True,0.797417,valid chain of delegation,1,826
chain_depth_sensitivity,1,42,True,0.793708,valid chain of delegation,1,826
chain_depth_sensitivity,1,43,True,0.7235,valid chain of delegation,1,826
chain_depth_sensitivity,1,44,True,0.754334,valid chain of delegation,1,826
chain_depth_sensitivity,1,45,True,0.775375,valid chain of delegation,1,826
chain_depth_sensitivity,1,46,True,0.765125,valid chain of delegation,1,826
chain_depth_sensitivity,1,47,True,0.793542,valid chain of delegation,1,826
chain_depth_sensitivity,1,48,True,0.761625,valid chain of delegation,1,826
chain_depth_sensitivity,1,49,True,0.746875,valid chain of delegation,1,826
chain_depth_sensitivity,1,50,True,0.731875,valid chain of delegation,1,826
chain_depth_sensitivity,1,51,True,0.785334,valid chain of delegation,1,826
chain_depth_sensitivity,1,52,True,0.739083,valid chain of delegation,1,826
chain_depth_sensitivity,1,53,True,0.730209,valid chain of delegation,1,826
chain_depth_sensitivity,1,54,True,0.726375,valid chain of delegation,1,826
chain_depth_sensitivity,1,55,True,0.746625,valid chain of delegation,1,826
chain_depth_sensitivity,1,56,True,0.712708,valid chain of delegation,1,826
chain_depth_sensitivity,1,57,True,0.684167,valid chain of delegation,1,826
