scenario,trace_id,operation,decision,metric,value_ms
token_tests_baseline,tr_4077e535a9cb4d59,issue_delegation,accepted,signature_generation,0.2279
token_tests_baseline,tr_4077e535a9cb4d59,issue_delegation,accepted,ledger_anchor,6.591
token_tests_baseline,tr_40af0f19bd714559,delegate_to_domain,accepted,signature_generation,0.2495
token_tests_baseline,tr_40af0f19bd714559,delegate_to_domain,accepted,ledger_anchor,2.6265
token_tests_baseline,tr_c443da391e894269,issue_downstream_delegation,accepted,incoming_cod_validation,0.3422
token_tests_baseline,tr_c443da391e894269,issue_downstream_delegation,accepted,signature_generation,0.0701
token_tests_baseline,tr_c443da391e894269,issue_downstream_delegation,accepted,ledger_anchor,2.6373
token_test_valid_three_hop_cod,tr_751113a5e25e42d0,verify_cod,accepted,cod_validation,0.4352
token_test_valid_three_hop_cod,tr_751113a5e25e42d0,verify_cod,accepted,capability_realization,0.103
token_test_valid_three_hop_cod,tr_751113a5e25e42d0,verify_cod,accepted,ledger_anchor,1.6526
token_test_tampered_dc_payload,tr_9a7f2d4e91fd4286,verify_cod,rejected,cod_validation,0.2525
token_test_scope_expansion_without_valid_signature,tr_c710eb8df596459a,verify_cod,rejected,cod_validation,0.2204
token_test_action_expansion_without_valid_signature,tr_2f8176a08bb44d7c,verify_cod,rejected,cod_validation,0.196
token_test_resource_expansion_without_valid_signature,tr_da3fe94ff26b478c,verify_cod,rejected,cod_validation,0.4476
token_test_reordered_delegation_chain,tr_29c3d33aa3994ad4,verify_cod,rejected,cod_validation,0.2166
token_test_missing_middle_dc,tr_912a07eb6e034221,verify_cod,rejected,cod_validation,0.1526
token_test_duplicate_dc,tr_a15a7ac1fb9c4f05,verify_cod,rejected,cod_validation,0.2013
token_test_wrong_issuer_key,tr_2f2e451e6fd84bef,verify_cod,rejected,cod_validation,0.1885
token_test_missing_required_dc_claim,tr_4159582d251e4af2,verify_cod,rejected,cod_validation,0.139
token_test_depth_overflow,tr_db90c7487f5c4226,verify_cod,rejected,cod_validation,0.0018
token_test_unknown_holder_verification_method,tr_e93d145e6def4687,verify_cod,rejected,cod_validation,0.1997
token_test_revoked_middle_dc,tr_f1d2eb4f3aa94e68,verify_cod,rejected,cod_validation,0.137
interactive_valid_flow,tr_283a743b1eff43c9,issue_delegation,accepted,signature_generation,0.0989
interactive_valid_flow,tr_283a743b1eff43c9,issue_delegation,accepted,ledger_anchor,1.6865
interactive_valid_flow,tr_4fbf8a2ccea140c3,delegate_to_domain,accepted,signature_generation,0.0928
interactive_valid_flow,tr_4fbf8a2ccea140c3,delegate_to_domain,accepted,ledger_anchor,2.3388
interactive_valid_flow,tr_7a850e34f15647c8,issue_downstream_delegation,accepted,incoming_cod_validation,0.1826
interactive_valid_flow,tr_7a850e34f15647c8,issue_downstream_delegation,accepted,signature_generation,0.051
interactive_valid_flow,tr_7a850e34f15647c8,issue_downstream_delegation,accepted,ledger_anchor,1.4405
interactive_valid_flow,tr_b4b89d76d0d84de3,verify_cod,accepted,cod_validation,0.2675
interactive_valid_flow,tr_b4b89d76d0d84de3,verify_cod,accepted,capability_realization,0.0838
interactive_valid_flow,tr_b4b89d76d0d84de3,verify_cod,accepted,ledger_anchor,1.2895
token_test_valid_capability_without_nonce_consumption,tr_0378ce760ce747ad,verify_capability,accepted,capability_base_validation,0.0727
token_test_valid_capability_without_nonce_consumption,tr_0378ce760ce747ad,verify_capability,accepted,holder_key_resolution,0.8685
token_test_valid_capability_without_nonce_consumption,tr_0378ce760ce747ad,verify_capability,accepted,challenge_state_check,0.2956
token_test_valid_capability_without_nonce_consumption,tr_0378ce760ce747ad,verify_capability,accepted,holder_proof_verification,0.0842
token_test_valid_capability_without_nonce_consumption,tr_0378ce760ce747ad,verify_capability,accepted,ledger_anchor,1.1449
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,capability_base_validation,0.0836
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,holder_key_resolution,0.6709
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,challenge_state_check,0.3273
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,holder_proof_verification,0.0605
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,nonce_challenge_state_consumption,1.0452
token_test_valid_first_use_consumes_nonce,tr_7db548527bf34afe,verify_capability,accepted,ledger_anchor,1.2743
token_test_replay_same_capability,tr_ffd35308cdea4e2a,verify_capability,rejected,capability_base_validation,0.0793
interactive_valid_flow,tr_d8c1996fef604788,issue_delegation,accepted,signature_generation,0.0813
interactive_valid_flow,tr_d8c1996fef604788,issue_delegation,accepted,ledger_anchor,1.4062
interactive_valid_flow,tr_ed806672ac194789,delegate_to_domain,accepted,signature_generation,0.0985
interactive_valid_flow,tr_ed806672ac194789,delegate_to_domain,accepted,ledger_anchor,1.1607
interactive_valid_flow,tr_ca9d0d133a034a3a,issue_downstream_delegation,accepted,incoming_cod_validation,0.2061
interactive_valid_flow,tr_ca9d0d133a034a3a,issue_downstream_delegation,accepted,signature_generation,0.0529
interactive_valid_flow,tr_ca9d0d133a034a3a,issue_downstream_delegation,accepted,ledger_anchor,1.3436
interactive_valid_flow,tr_6206d3e716bd4cb7,verify_cod,accepted,cod_validation,0.2058
interactive_valid_flow,tr_6206d3e716bd4cb7,verify_cod,accepted,capability_realization,0.0719
interactive_valid_flow,tr_6206d3e716bd4cb7,verify_cod,accepted,ledger_anchor,1.2023
token_test_wrong_action,tr_da08da58053b4568,verify_capability,rejected,capability_base_validation,0.0795
token_test_wrong_resource,tr_339f323633174df3,verify_capability,rejected,capability_base_validation,0.0725
token_test_wrong_subject,tr_fcf01978354b4dec,verify_capability,rejected,capability_base_validation,0.0873
token_test_tampered_capability_payload,tr_e6dc648e0c1a4ece,verify_capability,rejected,capability_base_validation,0.0684
token_test_missing_nonce,tr_3d79958341834c38,verify_capability,rejected,capability_base_validation,0.0052
