iteration,accepted,operation,value_ms
1,True,dc1_issuance_http,2.276083
1,True,dc2_delegation_http,2.063625
1,True,dc3_downstream_delegation_http,2.149458
1,True,cod_verify_http,3.031208
1,True,total_flow_ms,23.594666
1,True,challenge_issue_http,2.10325
1,True,holder_sign_http,0.831792
1,True,capability_verify_http,4.023625
1,True,holder_bound_access_total_http,6.958667
1,True,verifier_cod_validation,0.2035
1,True,verifier_capability_realization,0.0639
1,True,verifier_ledger_anchor,1.1162
1,True,capability_capability_base_validation,0.0821
1,True,capability_holder_key_resolution,0.6825
1,True,capability_challenge_state_check,0.3368
1,True,capability_holder_proof_verification,0.0646
1,True,capability_nonce_challenge_state_consumption,1.0351
1,True,capability_ledger_anchor,1.0514
1,True,ledger_anchor_total_ms,5.7293
2,True,dc1_issuance_http,2.363625
2,True,dc2_delegation_http,2.117625
2,True,dc3_downstream_delegation_http,2.238333
2,True,cod_verify_http,3.242125
2,True,total_flow_ms,24.1135
2,True,challenge_issue_http,2.067333
2,True,holder_sign_http,0.825916
2,True,capability_verify_http,4.206042
2,True,holder_bound_access_total_http,7.099291
2,True,verifier_cod_validation,0.2145
2,True,verifier_capability_realization,0.0705
2,True,verifier_ledger_anchor,1.0866
2,True,capability_capability_base_validation,0.0788
2,True,capability_holder_key_resolution,0.6913
2,True,capability_challenge_state_check,0.3323
2,True,capability_holder_proof_verification,0.0587
2,True,capability_nonce_challenge_state_consumption,1.1511
2,True,capability_ledger_anchor,1.082
2,True,ledger_anchor_total_ms,5.9492
3,True,dc1_issuance_http,2.292584
3,True,dc2_delegation_http,2.004292
3,True,dc3_downstream_delegation_http,2.268625
3,True,cod_verify_http,3.198167
3,True,total_flow_ms,23.953042
3,True,challenge_issue_http,2.037333
3,True,holder_sign_http,0.875583
3,True,capability_verify_http,4.090875
3,True,holder_bound_access_total_http,7.003791
3,True,verifier_cod_validation,0.2091
3,True,verifier_capability_realization,0.0707
3,True,verifier_ledger_anchor,1.1773
3,True,capability_capability_base_validation,0.0775
3,True,capability_holder_key_resolution,0.7034
3,True,capability_challenge_state_check,0.2935
3,True,capability_holder_proof_verification,0.0646
3,True,capability_nonce_challenge_state_consumption,1.0412
3,True,capability_ledger_anchor,1.1229
3,True,ledger_anchor_total_ms,5.8969
4,True,dc1_issuance_http,2.389625
4,True,dc2_delegation_http,2.09925
4,True,dc3_downstream_delegation_http,2.182834
4,True,cod_verify_http,3.444292
4,True,total_flow_ms,24.026458
4,True,challenge_issue_http,1.9605
4,True,holder_sign_http,0.871
4,True,capability_verify_http,4.120625
4,True,holder_bound_access_total_http,6.952125
4,True,verifier_cod_validation,0.2102
4,True,verifier_capability_realization,0.0719
4,True,verifier_ledger_anchor,1.3306
