operation,count,mean_ms,std_ms,min_ms,max_ms,ci95_ms
capability_capability_base_validation,100,0.080351,0.005907,0.0724,0.1034,0.001158
capability_challenge_state_check,100,0.348303,0.217584,0.2859,2.4819,0.042646
capability_holder_key_resolution,100,0.669327,0.043021,0.5948,0.8899,0.008432
capability_holder_proof_verification,100,0.065515,0.031342,0.0515,0.3726,0.006143
capability_ledger_anchor,100,1.116967,0.076237,1.0162,1.4369,0.014942
capability_nonce_challenge_state_consumption,100,1.097716,0.223293,0.9406,3.1471,0.043765
capability_verify_http,100,4.197163,0.453206,3.886375,7.724208,0.088828
challenge_issue_http,100,2.020384,0.089861,1.900417,2.390542,0.017613
cod_verify_http,100,3.307238,0.48071,2.927417,5.812,0.094219
dc1_issuance_http,100,2.303666,0.145274,2.020583,3.135208,0.028474
dc2_delegation_http,100,2.080858,0.158913,1.9015,3.395,0.031147
dc3_downstream_delegation_http,100,2.266974,0.194822,2.038334,3.764375,0.038185
holder_bound_access_total_http,100,7.078205,0.525084,6.595833,11.264917,0.102916
holder_sign_http,100,0.860658,0.049799,0.789458,1.150167,0.009761
ledger_anchor_total_ms,100,5.983373,0.466472,5.5849,9.4771,0.091428
total_flow_ms,100,24.144924,1.488366,22.948958,36.390042,0.29172
verifier_capability_realization,100,0.071389,0.005938,0.0628,0.102,0.001164
verifier_cod_validation,100,0.212737,0.01181,0.1952,0.2831,0.002315
verifier_ledger_anchor,100,1.199987,0.284622,1.0232,3.1424,0.055786
