delay_ms,repetition,pool_size,pre_update_attempts,pre_update_accepted,pre_update_rejected,post_update_attempts,post_update_accepted,post_update_rejected,revocation_update_http_ms,revocation_applied_elapsed_ms,first_post_result_elapsed_ms,local_enforcement_observation_ms,first_post_attempt_latency_ms,post_update_reasons,passed
0,1,20,3,0,3,10,0,10,4.766916,4.849,7.735208,2.886208,1.540751,"{""parent delegation chain has been revoked"": 10}",True
0,2,20,2,0,2,10,0,10,4.975417,5.063667,7.764875,2.701208,1.409666,"{""parent delegation chain has been revoked"": 10}",True
0,3,20,2,0,2,10,0,10,5.24175,5.3245,7.821375,2.496875,1.437542,"{""parent delegation chain has been revoked"": 10}",True
0,4,20,3,0,3,10,0,10,4.702208,4.784084,7.490334,2.70625,1.489167,"{""parent delegation chain has been revoked"": 10}",True
0,5,20,3,0,3,10,0,10,6.923375,7.004833,9.79975,2.794917,1.367834,"{""parent delegation chain has been revoked"": 10}",True
0,6,20,3,0,3,10,0,10,4.841125,4.921833,7.758667,2.836834,1.434458,"{""parent delegation chain has been revoked"": 10}",True
0,7,20,3,0,3,10,0,10,4.696042,4.784917,6.782125,1.997208,1.468959,"{""parent delegation chain has been revoked"": 10}",True
0,8,20,2,0,2,10,0,10,5.806542,5.89125,7.897667,2.006417,1.416084,"{""parent delegation chain has been revoked"": 10}",True
0,9,20,2,0,2,10,0,10,5.951541,6.057834,8.54025,2.482416,1.465249,"{""parent delegation chain has been revoked"": 10}",True
0,10,20,3,0,3,10,0,10,4.351667,4.44325,6.774375,2.331125,1.377625,"{""parent delegation chain has been revoked"": 10}",True
10,1,20,3,1,2,10,0,10,4.839042,15.522333,18.328625,2.806292,1.386417,"{""parent delegation chain has been revoked"": 10}",True
10,2,20,3,1,2,10,0,10,9.388,19.435167,24.018292,4.583125,3.83175,"{""parent delegation chain has been revoked"": 10}",True
10,3,20,4,1,3,10,0,10,4.425458,15.029125,17.985917,2.956792,1.790083,"{""parent delegation chain has been revoked"": 10}",True
10,4,20,5,1,4,10,0,10,5.222167,15.362459,18.093459,2.731,1.464417,"{""parent delegation chain has been revoked"": 10}",True
10,5,20,3,1,2,10,0,10,3.847833,14.144125,16.838667,2.694542,1.570124,"{""parent delegation chain has been revoked"": 10}",True
10,6,20,4,1,3,10,0,10,4.371458,14.523958,16.514792,1.990834,1.4545,"{""parent delegation chain has been revoked"": 10}",True
10,7,20,2,2,0,10,0,10,4.295125,14.929375,17.985667,3.056292,1.592208,"{""parent delegation chain has been revoked"": 10}",True
10,8,20,2,2,0,10,0,10,6.461,16.700375,20.39,3.689625,1.676042,"{""parent delegation chain has been revoked"": 10}",True
10,9,20,2,2,0,10,0,10,3.652542,14.688,18.010875,3.322875,1.827292,"{""parent delegation chain has been revoked"": 10}",True
10,10,20,4,1,3,10,0,10,4.31975,14.413667,16.409583,1.995916,1.469083,"{""parent delegation chain has been revoked"": 10}",True
50,1,40,8,6,2,10,0,10,5.1745,56.359,59.033875,2.674875,1.445875,"{""parent delegation chain has been revoked"": 10}",True
50,2,40,9,7,2,10,0,10,3.911833,54.691334,57.328,2.636666,1.384874,"{""parent delegation chain has been revoked"": 10}",True
50,3,40,9,7,2,10,0,10,4.419625,55.261458,57.023667,1.762209,1.365084,"{""parent delegation chain has been revoked"": 10}",True
50,4,40,9,7,2,10,0,10,6.499042,56.8265,59.8755,3.049,1.486584,"{""parent delegation chain has been revoked"": 10}",True
50,5,40,10,7,3,10,0,10,4.1735,54.452125,57.230958,2.778833,1.35425,"{""parent delegation chain has been revoked"": 10}",True
50,6,40,7,3,4,10,0,10,14.55075,64.78975,67.84775,3.058,2.7,"{""parent delegation chain has been revoked"": 10}",True
50,7,40,9,7,2,10,0,10,5.58025,56.199375,59.14475,2.945375,1.459625,"{""parent delegation chain has been revoked"": 10}",True
50,8,40,8,7,1,10,0,10,5.142541,55.541292,57.907708,2.366416,1.468375,"{""parent delegation chain has been revoked"": 10}",True
50,9,40,9,7,2,10,0,10,4.277208,55.147834,57.206792,2.058958,1.501667,"{""parent delegation chain has been revoked"": 10}",True
50,10,40,10,7,3,10,0,10,4.131708,55.244834,57.119792,1.874958,1.367459,"{""parent delegation chain has been revoked"": 10}",True
100,1,65,16,13,3,10,0,10,4.17625,104.593,107.384583,2.791583,1.384209,"{""parent delegation chain has been revoked"": 10}",True
100,2,65,16,13,3,10,0,10,5.34325,106.086167,108.217,2.130833,1.628792,"{""parent delegation chain has been revoked"": 10}",True
100,3,65,17,14,3,10,0,10,4.699834,104.928584,107.666417,2.737833,1.3425,"{""parent delegation chain has been revoked"": 10}",True
100,4,65,10,8,2,10,0,10,14.516958,114.829958,121.422583,6.592625,4.807667,"{""parent delegation chain has been revoked"": 10}",True
100,5,65,17,14,3,10,0,10,4.679458,105.05675,106.761042,1.704292,1.221917,"{""parent delegation chain has been revoked"": 10}",True
100,6,65,17,14,3,10,0,10,3.843833,104.571708,107.091208,2.5195,1.351167,"{""parent delegation chain has been revoked"": 10}",True
100,7,65,15,15,0,10,0,10,3.495833,104.471583,107.499,3.027417,1.508875,"{""parent delegation chain has been revoked"": 10}",True
100,8,65,16,14,2,10,0,10,3.521041,104.538708,106.234375,1.695667,1.4965,"{""parent delegation chain has been revoked"": 10}",True
100,9,65,18,14,4,10,0,10,7.485458,107.827,109.843417,2.016417,1.424666,"{""parent delegation chain has been revoked"": 10}",True
100,10,65,17,14,3,10,0,10,3.74025,104.699708,107.297625,2.597917,1.359458,"{""parent delegation chain has been revoked"": 10}",True
500,1,265,71,69,2,10,0,10,4.256041,505.162542,507.296875,2.134333,1.632957,"{""parent delegation chain has been revoked"": 10}",True
500,2,265,58,56,2,10,0,10,4.859334,505.560875,507.604375,2.0435,1.433833,"{""parent delegation chain has been revoked"": 10}",True
500,3,265,73,69,4,10,0,10,5.088708,505.39725,507.914084,2.516834,1.323791,"{""parent delegation chain has been revoked"": 10}",True
500,4,265,69,66,3,10,0,10,4.539792,505.299709,507.883959,2.58425,1.480042,"{""parent delegation chain has been revoked"": 10}",True
500,5,265,61,59,2,10,0,10,7.720208,508.29875,510.941334,2.642584,1.580541,"{""parent delegation chain has been revoked"": 10}",True
500,6,265,70,70,0,10,0,10,3.344792,504.095459,507.417834,3.322375,1.788167,"{""parent delegation chain has been revoked"": 10}",True
500,7,265,65,65,0,10,0,10,4.063875,504.731,507.591542,2.860542,1.56525,"{""parent delegation chain has been revoked"": 10}",True
500,8,265,68,66,2,10,0,10,7.026458,507.302501,509.744167,2.441666,2.069584,"{""parent delegation chain has been revoked"": 10}",True
500,9,265,73,70,3,10,0,10,6.501375,506.890042,509.484834,2.594792,1.402708,"{""parent delegation chain has been revoked"": 10}",True
500,10,265,49,47,2,10,0,10,4.64,505.497417,508.097542,2.600125,1.6305,"{""parent delegation chain has been revoked"": 10}",True
1000,1,515,123,123,0,10,0,10,6.684333,1007.710417,1010.79875,3.088333,1.571334,"{""parent delegation chain has been revoked"": 10}",True
1000,2,515,130,129,1,10,0,10,7.81625,1008.447376,1011.152626,2.70525,1.425375,"{""parent delegation chain has been revoked"": 10}",True
1000,3,515,134,131,3,10,0,10,4.216875,1004.325959,1006.840584,2.514625,1.473916,"{""parent delegation chain has been revoked"": 10}",True
1000,4,515,131,131,0,10,0,10,4.525625,1004.739708,1009.442833,4.703125,1.756334,"{""parent delegation chain has been revoked"": 10}",True
1000,5,515,122,120,2,10,0,10,5.311292,1005.90025,1007.902625,2.002375,1.395624,"{""parent delegation chain has been revoked"": 10}",True
1000,6,515,119,116,3,10,0,10,5.098834,1005.556417,1008.561959,3.005542,1.447959,"{""parent delegation chain has been revoked"": 10}",True
1000,7,515,138,136,2,10,0,10,4.7715,1005.356625,1007.009791,1.653166,1.585084,"{""parent delegation chain has been revoked"": 10}",True
1000,8,515,133,131,2,10,0,10,5.783709,1006.62275,1008.835209,2.212459,1.487042,"{""parent delegation chain has been revoked"": 10}",True
1000,9,515,115,114,1,10,0,10,6.515292,1007.09,1013.072625,5.982625,3.638584,"{""parent delegation chain has been revoked"": 10}",True
1000,10,515,101,99,2,10,0,10,6.375542,1007.579668,1012.050543,4.470875,2.690834,"{""parent delegation chain has been revoked"": 10}",True
