mode,operation_count,repetition,accepted,rejected,capability_issuance_count,issuance_total_ms,preissue_wall_ms,online_session_ms,lifecycle_session_ms,consumed_nonce_delta,challenge_delta,consumed_challenge_delta
on_demand,1,1,1,0,1,4.780583,0.0,12.965958,12.965958,1,1,1
on_demand,1,2,1,0,1,4.1465,0.0,12.998625,12.998625,1,1,1
on_demand,1,3,1,0,1,4.398875,0.0,12.268708,12.268708,1,1,1
on_demand,1,4,1,0,1,3.879292,0.0,12.185666,12.185666,1,1,1
on_demand,1,5,1,0,1,3.822166,0.0,11.2445,11.2445,1,1,1
on_demand,1,6,1,0,1,3.463917,0.0,11.11875,11.11875,1,1,1
on_demand,1,7,1,0,1,4.539875,0.0,15.3245,15.3245,1,1,1
on_demand,1,8,1,0,1,3.919333,0.0,11.668875,11.668875,1,1,1
on_demand,1,9,1,0,1,3.626209,0.0,12.243459,12.243459,1,1,1
on_demand,1,10,1,0,1,4.323666,0.0,18.10775,18.10775,1,1,1
on_demand,10,1,10,0,10,33.569461,0.0,114.392458,114.392458,10,10,10
on_demand,10,2,10,0,10,36.137624,0.0,116.89225,116.89225,10,10,10
on_demand,10,3,10,0,10,34.352127,0.0,118.596625,118.596625,10,10,10
on_demand,10,4,10,0,10,41.518667,0.0,136.442916,136.442916,10,10,10
on_demand,10,5,10,0,10,32.726793,0.0,108.768083,108.768083,10,10,10
on_demand,10,6,10,0,10,32.106583,0.0,108.011459,108.011459,10,10,10
on_demand,10,7,10,0,10,32.781082,0.0,109.24625,109.24625,10,10,10
on_demand,10,8,10,0,10,31.607333,0.0,103.904708,103.904708,10,10,10
on_demand,10,9,10,0,10,33.176873,0.0,107.416792,107.416792,10,10,10
on_demand,10,10,10,0,10,32.350415,0.0,103.684083,103.684083,10,10,10
on_demand,50,1,50,0,50,173.81717,0.0,584.408042,584.408042,50,50,50
on_demand,50,2,50,0,50,168.551001,0.0,560.762667,560.762667,50,50,50
on_demand,50,3,50,0,50,171.929289,0.0,578.535792,578.535792,50,50,50
on_demand,50,4,50,0,50,187.073833,0.0,615.885459,615.885459,50,50,50
on_demand,50,5,50,0,50,171.355707,0.0,583.671084,583.671084,50,50,50
on_demand,50,6,50,0,50,168.821539,0.0,566.106126,566.106126,50,50,50
on_demand,50,7,50,0,50,164.079542,0.0,564.033417,564.033417,50,50,50
on_demand,50,8,50,0,50,184.792461,0.0,605.237583,605.237583,50,50,50
on_demand,50,9,50,0,50,173.164833,0.0,581.334083,581.334083,50,50,50
on_demand,50,10,50,0,50,162.479292,0.0,541.745708,541.745708,50,50,50
on_demand,100,1,100,0,100,322.284294,0.0,1079.61175,1079.61175,100,100,100
on_demand,100,2,100,0,100,341.164542,0.0,1143.819083,1143.819083,100,100,100
on_demand,100,3,100,0,100,330.761372,0.0,1096.769125,1096.769125,100,100,100
on_demand,100,4,100,0,100,338.349415,0.0,1136.659876,1136.659876,100,100,100
