mode,operation_count,repetitions_completed,attempted_operations,accepted_operations,rejected_operations,capabilities_issued,issuance_mean_ms,access_mean_ms,online_operation_mean_ms,online_operation_p95_ms,online_operation_p99_ms,online_operation_ci95_ms,lifecycle_operation_mean_ms,online_session_mean_ms,online_session_p95_ms,online_session_ci95_ms,lifecycle_session_mean_ms,lifecycle_session_p95_ms,lifecycle_session_ci95_ms,consumed_nonce_delta_mean,consumed_challenge_delta_mean
on_demand,1,10,10,10,0,10,4.090042,8.898284,13.010717,18.105708,18.105708,1.333409,12.988325,13.012679,18.10775,1.333425,13.012679,18.10775,1.333425,1.0,1.0
on_demand,10,10,100,100,0,100,3.40327,7.844133,11.272062,13.635375,15.868875,0.26724,11.247403,112.735562,136.442916,6.040596,112.735562,136.442916,6.040596,10.0,10.0
on_demand,50,10,500,500,0,500,3.452129,8.083891,11.561927,14.062916,15.974041,0.139757,11.53602,578.171996,615.885459,13.40457,578.171996,615.885459,13.40457,50.0,50.0
on_demand,100,10,1000,1000,0,1000,3.419299,8.016058,11.461122,14.006042,16.937208,0.092797,11.435357,1146.270042,1245.054501,30.574308,1146.270042,1245.054501,30.574308,100.0,100.0
on_demand,500,10,5000,5000,0,5000,3.658301,8.550704,12.23507,16.341917,18.950958,0.0591,12.209005,6118.311757,7253.846503,273.932327,6118.311757,7253.846503,273.932327,500.0,500.0
on_demand,1000,10,10000,10000,0,10000,3.653557,8.571926,12.251269,15.95575,19.16175,0.041757,12.225483,12252.882468,13059.443214,247.406623,12252.882468,13059.443214,247.406623,1000.0,1000.0
preissued_pool,1,10,10,10,0,10,4.005958,8.23955,8.256537,10.574417,10.574417,0.658298,12.245509,8.2586,10.576375,0.65828,12.269237,15.300209,0.842893,1.0,1.0
preissued_pool,10,10,100,100,0,100,3.601301,8.29407,8.311061,10.101375,11.262542,0.206576,11.895371,83.126267,99.15925,5.211826,119.171634,146.895584,8.034468,10.0,10.0
preissued_pool,50,10,500,500,0,500,3.476567,8.248419,8.265346,10.833584,12.915041,0.124979,11.724986,413.342546,519.805875,27.461493,587.323342,698.568417,32.532091,50.0,50.0
preissued_pool,100,10,1000,1000,0,1000,3.398129,8.450375,8.467584,10.762334,11.989584,0.071479,11.848504,846.912517,917.527917,27.624797,1187.025655,1278.108084,39.854948,100.0,100.0
preissued_pool,500,10,5000,5000,0,5000,3.406582,8.857474,8.875298,11.62175,13.806375,0.044799,12.264057,4438.416277,5091.781253,149.238017,6143.209278,7097.118296,220.306802,500.0,500.0
preissued_pool,1000,10,10000,10000,0,10000,3.382047,8.378702,8.395412,10.954042,13.448708,0.029449,11.760749,8396.88632,9081.073504,289.020772,11781.866776,12636.117089,380.847895,1000.0,1000.0
