category,case,generated,accepted,rejected,passed,failed,mean_ms,p95_ms,ci95_ms
valid_control,ALL,300,300,0,300,0,0.956624,1.355084,0.02887
valid_control,valid_monotone,300,300,0,300,0,0.956624,1.355084,0.02887
signature_tampering,ALL,300,0,300,300,0,0.836311,0.933375,0.007679
signature_tampering,scope_field,60,0,60,60,0,0.832734,0.896708,0.013388
signature_tampering,action_field,60,0,60,60,0,0.825051,0.858416,0.011767
signature_tampering,resource_field,60,0,60,60,0,0.842962,1.040709,0.018919
signature_tampering,validity_field,60,0,60,60,0,0.84552,1.037334,0.023212
signature_tampering,depth_field,60,0,60,60,0,0.83529,0.933375,0.016187
malformed_chain,ALL,300,0,300,300,0,0.820298,0.889666,0.011457
malformed_chain,missing_middle,60,0,60,60,0,0.780002,0.884208,0.010785
malformed_chain,reordered_chain,60,0,60,60,0,0.834194,0.886708,0.009625
malformed_chain,duplicate_leaf,60,0,60,60,0,0.832148,0.883916,0.015359
malformed_chain,wrong_parent_link,60,0,60,60,0,0.861091,0.899875,0.045589
malformed_chain,missing_required_claim,60,0,60,60,0,0.794056,0.910833,0.022847
signed_authority_expansion,ALL,300,0,300,300,0,1.216469,3.011625,0.087909
signed_authority_expansion,scope_expansion,60,0,60,60,0,1.208212,3.613083,0.203824
signed_authority_expansion,action_expansion,60,0,60,60,0,1.172423,2.704542,0.164662
signed_authority_expansion,resource_expansion,60,0,60,60,0,1.224491,3.213875,0.197888
signed_authority_expansion,validity_expansion,60,0,60,60,0,1.253652,2.749625,0.213605
signed_authority_expansion,depth_expansion,60,0,60,60,0,1.223569,2.468458,0.20529
