test,metric,value,unit,note
concurrent_capability_replay,accepted_count,1,count,
concurrent_capability_replay,rejected_count,9,count,
concurrent_holder_proof_replay,accepted_count,1,count,
concurrent_holder_proof_replay,rejected_count,9,count,
concurrent_replay,passed,True,boolean,
crypto_cost,ed25519_key_generation_mean_ms,0.01679415,ms,
crypto_cost,ed25519_key_generation_p95_ms,0.019,ms,
crypto_cost,ed25519_key_generation_ci95_ms,0.0003818804390737917,ms,
crypto_cost,dc_signing_mean_ms,0.03533631,ms,
crypto_cost,dc_signing_p95_ms,0.038209,ms,
crypto_cost,dc_signing_ci95_ms,0.0006993406564404271,ms,
crypto_cost,dc_signature_verification_mean_ms,0.04654383,ms,
crypto_cost,dc_signature_verification_p95_ms,0.053833,ms,
crypto_cost,dc_signature_verification_ci95_ms,0.0008245817476615055,ms,
crypto_cost,capability_signing_mean_ms,0.04423921,ms,
crypto_cost,capability_signing_p95_ms,0.052084,ms,
crypto_cost,capability_signing_ci95_ms,0.0008631935380848542,ms,
crypto_cost,capability_issuer_signature_verification_mean_ms,0.04851667,ms,
crypto_cost,capability_issuer_signature_verification_p95_ms,0.053666,ms,
crypto_cost,capability_issuer_signature_verification_ci95_ms,0.0009587980470189179,ms,
crypto_cost,holder_request_signing_mean_ms,0.03125792,ms,
crypto_cost,holder_request_signing_p95_ms,0.034166,ms,
crypto_cost,holder_request_signing_ci95_ms,0.0005569153578189451,ms,
crypto_cost,holder_proof_verification_mean_ms,0.045450410000000004,ms,
crypto_cost,holder_proof_verification_p95_ms,0.055167,ms,
crypto_cost,holder_proof_verification_ci95_ms,0.001012617782778329,ms,
crypto_cost,cod_hash_computation_mean_ms,0.00525243,ms,
crypto_cost,cod_hash_computation_p95_ms,0.006125,ms,
crypto_cost,cod_hash_computation_ci95_ms,8.196417426652657e-05,ms,
crypto_cost,capability_hash_computation_mean_ms,0.00646,ms,
crypto_cost,capability_hash_computation_p95_ms,0.007041,ms,
crypto_cost,capability_hash_computation_ci95_ms,0.00010074073366555726,ms,
crypto_cost,sd_digest_verification_mean_ms,0.00169164,ms,
crypto_cost,sd_digest_verification_p95_ms,0.001875,ms,
crypto_cost,sd_digest_verification_ci95_ms,2.6335110270818343e-05,ms,
crypto_cost,revocation_registry_read_http_mean_ms,0.58997758,ms,
crypto_cost,revocation_registry_read_http_p95_ms,0.763833,ms,
crypto_cost,revocation_registry_read_http_ci95_ms,0.028698830501897914,ms,
crypto_cost,verifier_challenge_issuance_http_mean_ms,1.872948,ms,
crypto_cost,verifier_challenge_issuance_http_p95_ms,2.185541,ms,
crypto_cost,verifier_challenge_issuance_http_ci95_ms,0.06921630267128723,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_mean_ms,3.9141709000000002,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_p95_ms,4.170167,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_ci95_ms,0.0798728740615194,ms,
load,iterations,100,count,
load,concurrency,10,workers,
load,success_count,100,count,
load,failure_count,0,count,
load,p95_latency_ms,120.042581,ms,
load,p99_latency_ms,129.216181,ms,
concurrent_capability_replay,accepted_count,1,count,
concurrent_capability_replay,rejected_count,9,count,
concurrent_holder_proof_replay,accepted_count,1,count,
concurrent_holder_proof_replay,rejected_count,9,count,
concurrent_replay,passed,True,boolean,
concurrent_capability_replay,accepted_count,1,count,
concurrent_capability_replay,rejected_count,24,count,
concurrent_holder_proof_replay,accepted_count,1,count,
concurrent_holder_proof_replay,rejected_count,24,count,
concurrent_replay,passed,True,boolean,
concurrent_capability_replay,accepted_count,1,count,
concurrent_capability_replay,rejected_count,49,count,
concurrent_holder_proof_replay,accepted_count,1,count,
concurrent_holder_proof_replay,rejected_count,49,count,
concurrent_replay,passed,True,boolean,
concurrent_capability_replay,accepted_count,1,count,
concurrent_capability_replay,rejected_count,99,count,
concurrent_holder_proof_replay,accepted_count,1,count,
concurrent_holder_proof_replay,rejected_count,99,count,
concurrent_replay,passed,True,boolean,
crypto_cost,ed25519_key_generation_mean_ms,0.0186794762,ms,
crypto_cost,ed25519_key_generation_p95_ms,0.021542,ms,
crypto_cost,ed25519_key_generation_ci95_ms,7.821071927619015e-05,ms,
crypto_cost,dc_signing_mean_ms,0.0433103248,ms,
crypto_cost,dc_signing_p95_ms,0.048375,ms,
crypto_cost,dc_signing_ci95_ms,0.00013825770725480187,ms,
crypto_cost,dc_signature_verification_mean_ms,0.0469650514,ms,
crypto_cost,dc_signature_verification_p95_ms,0.052834,ms,
crypto_cost,dc_signature_verification_ci95_ms,0.0001035641641107011,ms,
crypto_cost,capability_signing_mean_ms,0.051184075,ms,
crypto_cost,capability_signing_p95_ms,0.057375,ms,
crypto_cost,capability_signing_ci95_ms,0.00012054897160153555,ms,
crypto_cost,capability_issuer_signature_verification_mean_ms,0.049055085,ms,
crypto_cost,capability_issuer_signature_verification_p95_ms,0.05525,ms,
crypto_cost,capability_issuer_signature_verification_ci95_ms,0.00014293296133033697,ms,
crypto_cost,holder_request_signing_mean_ms,0.0314191318,ms,
crypto_cost,holder_request_signing_p95_ms,0.03475,ms,
crypto_cost,holder_request_signing_ci95_ms,6.30802596099681e-05,ms,
crypto_cost,holder_proof_verification_mean_ms,0.0452555196,ms,
crypto_cost,holder_proof_verification_p95_ms,0.050958,ms,
crypto_cost,holder_proof_verification_ci95_ms,0.00040502353405360496,ms,
crypto_cost,cod_hash_computation_mean_ms,0.0053129794,ms,
crypto_cost,cod_hash_computation_p95_ms,0.005625,ms,
crypto_cost,cod_hash_computation_ci95_ms,2.5559226312584487e-05,ms,
crypto_cost,capability_hash_computation_mean_ms,0.0068304264,ms,
crypto_cost,capability_hash_computation_p95_ms,0.007292,ms,
crypto_cost,capability_hash_computation_ci95_ms,2.1710097329638063e-05,ms,
crypto_cost,sd_digest_verification_mean_ms,0.0021613934,ms,
crypto_cost,sd_digest_verification_p95_ms,0.002333,ms,
crypto_cost,sd_digest_verification_ci95_ms,1.1556389880033014e-05,ms,
crypto_cost,revocation_registry_read_http_mean_ms,0.5721750508,ms,
